,,,,Introducing Bernie. Below ground at the TMM,,
,,,1:26:59 - 1:56:33,,,
,,,,In the rec room we get busted,,
,,,1:56:33 - 1:58:08,,,
,,,,we continue to ask questions WITHOUT VIDEO,,
,,,1:58:08 - 1:59:37,,,SOUND ONLY
,,,,NM sign dark,,
,,entering NM,1:59:37 - 1:59:52,,,
,,,,,,
,,,,White Sands Missile Museum,,
,11-Jul,"White Sands, NM",1:59:52 - 2:04:00,,,
,,,,driving through NM and town of Jicarilla,,
,,,2:04:00 - 2:05:05,,,
,,,,Panningfor gold,,
,,"Jicarilla, NM",2:05:05 - 2:16:16,,,
,,,,more gold,,
,,,2:16:16 - 2:27:55,,,
,,,,ruins at a railroad track,,
,,NM,2:27:55 - 2:30:02,,,
,,,,My House of Old Things (closed),,
,,NM,2:30:02 - 2:31:08,,,
,,,,,,
Tape#,Date,Location,Ftg.,,Description,Comments
,,,,Rainstorm in NM,,
,,driving through,,,,
11,11-Jul,{NM,2:31:08 - 2:39:30,,,
,,,,Diner in NM a discussionof the play,,
,12-Jul,"|Santa Rosa, NM",2:39:30 - 3:07:25,,,
,,,,conversation continues,,
,,,3:07:25 - 3:36:05,,,
,,,,Sam's Barber Shop,,
,,,3:36:05 - 3:54:06,,,
,,,,Sam's B shopcont....,,
,,,3:54:06 - 4:07:54,,,
,,,,The Blue Hole of Santa Rosa,,
,13-Jul,,4:07:54 - 4:12:09,,,
,,,,,,
,,,,town of Tucumcari,,
,,"Tucumcari, NM",4:12:09 - 4:15:18,,,
,,,,Route 66 festival,,
,,,4:15:18 - 4:21:32,,,
,,,,Another storm onthe road,,
,,driving through,,,,
,,NM,4:21:32 - 4:26:32,,,No Good
,,,,More shots out car window,,
,,,4:26:32 - 4:29:04,,,No Good
,,,,Out window TX and OKsign,,
,,driving through TX,,,,
,,and OK,4:29:04 - 4:31:53,,,
,,,,KS sign and Bowling,,
,,"Liberal, KS",4:31:53 - 4:35:52,,,
,,,,,,
Tape#,Date,Location,Ftg.,,Description,Comments
,,,,an Inn in Winslow,,
11,14-Jul,"Winslow, KS",4:35:52 - 4:58:38,,,
,,,,Winslow Opera House,,
,,,4:58:38 - 5:10:20,,,
,,,,Garden of Eden,,
12,,"Lucas, Ks",0:00:00 - 0:05:48,,,
,,,,Dad's pad when mom gets mad,,
,,,0:05:48 - 0:08:44,,,
,,,,Intro at Liberty Jail,,
,15-Jul,"Liberty, MO",0:08:44 - 0:21:00,,,
,,,,Show at liberty Jail,,
,,,0:21:00 - 0:43:30,,,
,,,,,,
,,,,Mathews/Winnsfamily outside Liberty Jail,,
,,,0:43:30 - 0:48:13,,,
,,,,First post civil war day time bank robbery that Jesse,,
,,,,James may or may not haveparticipated in,,
,,,0:48:13 - 1:02:39,,,
,,,,shots out window andin car,,
,,IA,1:02:39 - 1:05:22,,,
,,,,American Gothic House,,
,,"Eldon, IA",1:05:22 - 1:09:11,,,
,,,,Interview Carlos,,
,,Jefferson County,,,,
,,"Park, IA",1:09:11 - 1:53:37,,,
,,,,At night a lightening storm at campsite,,
,,,1:53:37 - 2:01:33,,,
Tape#,Date,Location,Ftg.,,Description,Comments
,,,,shots out car,,
12,15-Jul,[Driving into IL,2:01:33 - 2:03:25,,,
,,,,Max's Wheel Museum (closed),,
,,"Woodhaul,IL",2:03:25 - 2:04:56,,,
